galaxy_name,velocities_citation,luminosity_citation,scale_length_citation,mass_hydrogen_citation
DDO-0154,deBlok2008,Walter2008,Leroy2008,Walter2008
IC-2574,deBlok2008,Walter2008,Pasquali2008,Walter2008
NGC-0925,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-2403,deBlok2008,Walter2008,Wevers1986,Walter2008
NGC-2841,deBlok2008,Walter2008,Begeman1987,Walter2008
NGC-2903,deBlok2008,Walter2008,Wevers1986,Walter2008
NGC-2976,deBlok2008,Walter2008,Simon2003,Walter2008
NGC-3031,deBlok2008,Walter2008,Murphy2008,Walter2008
NGC-3198,deBlok2008,Walter2008,Wevers1986,Walter2008
NGC-3521,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-3621,deBlok2008,Walter2008,deBlok2008,Walter2008
NGC-3627,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-4736,deBlok2008,Walter2008,deBlok2008,Walter2008
NGC-4826,deBlok2008,Walter2008,Regan2006,Walter2008
NGC-5055,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-6946,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-7331,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-7793,deBlok2008,Walter2008,Leroy2008,Walter2008
NGC-3726,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3769,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3877,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3893,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3917,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3949,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3953,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3972,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-3992,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4010,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4013,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4051,Verheijen2001,Sanders1998,Tully1997b,Sanders1998
NGC-4085,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4088,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4100,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4138,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4157,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4183,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4217,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
NGC-4389,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-6399,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-6446,Verheijen2001,Sanders1998,Tully1997b,Sanders1998
UGC-6667,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-6818,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-6917,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-6923,Verheijen2001,Sanders1998,Tully1997b,Sanders1998
UGC-6930,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-6973,Verheijen2001,Sanders1998,Tully1997b,Sanders1998
UGC-6983,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
UGC-7089,Verheijen2001,Sanders1998,Tully1997a,Sanders1998
DDO-0064,Kuzio2008,deBlok2002,deBlok2002,Stil2002
F563-1,Kuzio2006,deBlok1997,deBlok1997,deBlok1996
F563-V2,McGaugh2001,deBlok1997,deBlok1997,deBlok1996
F568-3,Kuzio2006,deBlok1997,deBlok1997,deBlok1996
F583-1,Kuzio2006,deBlok1997,deBlok1997,deBlok1996
F583-4,Kuzio2006,deBlok1997,deBlok1997,deBlok1996
NGC-0959,Kuzio2008,Fisher1981,Esipov1991,Fisher1981
NGC-4395,McGaugh2001,Swaters2002a,deBlok2002,Swaters2002a
NGC-7137,Kuzio2008,Bieging1977,ES,Bieging1977
UGC-0128,Verheijen1999,deBlok1997,vanderHulst1993,vanderHulst1993
UGC-0191,Kuzio2008,vanZee2000,vanZee2000,vanZee1997
UGC-0477,McGaugh2001,Fisher1981,ES,Fisher1981
UGC-1230,deBlok1997,deBlok1997,vanderHulst1993,vanderHulst1993
UGC-1281,McGaugh2001,vanZee2000,deBlok2002,Swaters2002a
UGC-1551,Kuzio2008,Swaters2002b,deJong1996,Swaters2002b
UGC-4325,Kuzio2008,Swaters2002a,deBlok2002,Swaters2002a
UGC-5005,deBlok1997,deBlok1997,vanderHulst1993,vanderHulst1993
UGC-5750,McGaugh2001,deBlok1997,vanderHulst1993,vanderHulst1993
UGC-5999,deBlok1997,deBlok1997,vanderHulst1993,vanderHulst1993
UGC-11820,Kuzio2008,vanZee1997,Kim2007,vanZee1997
ESO-0140040,McGaugh2001,deBlok2001,Beijersbergen1999,NA
ESO-0840411,McGaugh2001,deBlok2001,ES,NA
ESO-1200211,McGaugh2001,deBlok2001,ES,NA
ESO-1870510,McGaugh2001,deBlok2001,Bell2000,NA
ESO-2060140,McGaugh2001,deBlok2001,Beijersbergen1999,NA
ESO-3020120,McGaugh2001,deBlok2001,ES,NA
ESO-3050090,McGaugh2001,deBlok2001,ES,NA
ESO-4250180,McGaugh2001,deBlok2001,Beijersbergen1999,NA
ESO-4880490,McGaugh2001,deBlok2001,ES,NA
F571-8,McGaugh2001,deBlok1996,deBlok1997,deBlok1996
F579-V1,McGaugh2001,deBlok1996,deBlok1997,deBlok1996
F730-V1,McGaugh2001,Kim2007,Kim2007,NA
UGC-04115,McGaugh2001,deBlok2001,Bazarra2001,NA
UGC-06614,McGaugh2001,deBlok2001,vanderHulst1993,vanderHulst1993
UGC-11454,McGaugh2001,deBlok2001,Kim2007,NA
UGC-11557,McGaugh2001,deBlok2001,Swaters2002a,Swaters2002a
UGC-11583,McGaugh2001,deBlok2001,Kim2007,NA
UGC-11616,McGaugh2001,deBlok2001,Kim2007,NA
UGC-11648,McGaugh2001,deBlok2001,Kim2007,NA
UGC-11748,McGaugh2001,deBlok2001,Kim2007,NA
UGC-11819,McGaugh2001,deBlok2001,Kim2007,NA
DDO-0168,Broeils1992,Broeils1992,Broeils1992,Broeils1992
DDO-0170,Lake1990,Lake1990,Lake1990,Lake1990
M-0033,Rhee1996,Rhee1996,Kent1987b,Rhee1996
NGC-0055,Puche1991,Puche1991,Puche1991,Puche1991
NGC-0247,Carignan1990,Carignan1985a,Carignan1985a,Carignan1990
NGC-0300,Puche1990,Carignan1985a,Carignan1985a,Puche1990
NGC-0801,Broeils1992,Broeils1992,Kent1986,Broeils1992
NGC-1003,Rhee1996,Rhee1996,Broeils1991,Sanders1996
NGC-1560,Broeils1992,Broeils1992,Broeils1992,Broeils1992
NGC-2683,Casertano1991,Casertano1991,Kent1985,Sanders1996
NGC-2998,Broeils1992,Broeils1992,Kent1986,Broeils1992
NGC-3109,Jobin1990,Carignan1985b,Carignan1985b,Jobin1990
NGC-5033,Begeman1987,Begeman1987,Wevers1986,Begeman1987
NGC-5371,Begeman1987,Begeman1987,Wevers1986,Begeman1987
NGC-5533,Broeils1992,Broeils1992,Kent1985,Broeils1992
NGC-5585,Cote1991,Cote1991,Cote1991,Cote1991
NGC-5907,Barnaby1994,Sanders1996,Barnaby1994,Sanders1996
NGC-6503,Begeman1987,Begeman1987,Wevers1986,Begeman1987
NGC-6674,Broeils1992,Broeils1992,Broeils1991,Broeils1992
UGC-2259,Carignan1988,Carignan1988,Kent1987a,Carignan1988
UGC-2885,Roelfsema1985,Kent1986,Kent1986,Sanders1996
Malin-1,Lelli2010,Lelli2010,Pickering1997,Lelli2010